-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2013 through 12/31/2019 
Location: Latitude  27.6667   Longitude 85.35 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1653.16 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
27.66671,85.35001,2013,02,27,    0.00,    3.87,   32.52,   84.27,   14.69,   11.66,   -3.54,   -3.22,   22.59,    7.90,   14.10
27.66671,85.35001,2013,02,28,    0.00,    3.89,   32.45,   84.07,   14.21,   11.81,   -3.26,   -2.97,   22.49,    8.29,   14.16
27.66671,85.35001,2013,03,01,    0.00,    4.26,   38.04,   84.06,   15.96,   11.58,   -1.94,   -1.78,   21.69,    5.73,   13.11
27.66671,85.35001,2013,03,02,    0.00,    4.67,   39.86,   84.25,   13.57,   12.51,   -0.59,   -0.47,   21.86,    8.29,   13.83
27.66671,85.35001,2013,03,03,    0.00,    4.50,   38.65,   84.23,   15.91,   12.76,   -0.94,   -0.86,   22.44,    6.53,   13.73
27.66671,85.35001,2013,03,04,    0.00,    4.91,   40.45,   84.31,   13.80,   13.04,    0.18,    0.25,   21.87,    8.07,   14.40
27.66671,85.35001,2013,03,05,    0.00,    5.91,   46.57,   84.41,   11.28,   13.63,    2.74,    2.79,   21.97,   10.69,   15.08
27.66671,85.35001,2013,03,06,    0.00,    5.31,   43.68,   84.37,   13.50,   13.75,    1.46,    1.50,   22.01,    8.51,   14.42
27.66671,85.35001,2013,03,07,    9.99,    5.90,   50.13,   84.33,   11.97,   12.83,    2.89,    2.91,   20.77,    8.80,   13.91
27.66671,85.35001,2013,03,08,    0.45,    5.78,   48.46,   84.30,   12.73,   13.08,    2.63,    2.66,   21.34,    8.61,   14.10
27.66671,85.35001,2013,03,09,    0.01,    6.17,   50.57,   84.03,   12.56,   13.71,    3.63,    3.65,   21.23,    8.67,   14.40
27.66671,85.35001,2013,03,10,    1.19,    5.91,   47.95,   84.01,   10.65,   13.64,    3.33,    3.34,   20.81,   10.17,   14.57
27.66671,85.35001,2013,03,11,    0.49,    5.67,   48.03,   84.01,   13.35,   13.74,    2.61,    2.63,   21.01,    7.66,   13.89
27.66671,85.35001,2013,03,12,    0.04,    5.14,   39.52,   84.03,   13.92,   14.45,    1.08,    1.13,   22.90,    8.98,   15.40
27.66671,85.35001,2013,03,13,    0.00,    5.63,   41.90,   84.18,   11.54,   15.01,    2.68,    2.70,   22.71,   11.17,   15.93
27.66671,85.35001,2013,03,14,    0.02,    5.45,   39.60,   84.29,   12.72,   15.78,    2.04,    2.07,   23.62,   10.90,   16.34
27.66671,85.35001,2013,03,15,    0.05,    5.41,   39.61,   84.39,   12.38,   15.70,    1.83,    1.88,   23.15,   10.77,   16.24
27.66671,85.35001,2013,03,16,    0.00,    4.99,   38.16,   84.43,   12.27,   15.12,    0.79,    0.86,   22.80,   10.52,   15.57
27.66671,85.35001,2013,03,17,    0.00,    4.61,   38.32,   84.23,    9.65,   12.88,   -0.16,   -0.12,   19.57,    9.92,   14.23
27.66671,85.35001,2013,03,18,    0.00,    4.93,   40.52,   83.74,   12.68,   13.85,    0.63,    0.66,   21.50,    8.82,   14.31
27.66671,85.35001,2013,03,19,    0.00,    5.27,   40.15,   83.83,   12.54,   14.71,    1.34,    1.39,   22.24,    9.71,   15.50
27.66671,85.35001,2013,03,20,    0.00,    6.18,   45.10,   84.07,   12.58,   16.03,    3.97,    3.98,   22.94,   10.35,   16.22
27.66671,85.35001,2013,03,21,    2.81,    6.80,   52.01,   83.86,   10.90,   15.66,    5.31,    5.32,   21.53,   10.62,   15.44
27.66671,85.35001,2013,03,22,    0.20,    5.96,   43.80,   83.70,   14.07,   15.87,    3.26,    3.28,   23.28,    9.21,   16.04
27.66671,85.35001,2013,03,23,    0.02,    5.46,   38.72,   84.08,   11.43,   16.09,    2.24,    2.27,   23.75,   12.33,   16.69
27.66671,85.35001,2013,03,24,    0.00,    5.02,   34.17,   84.13,   13.63,   16.96,    0.94,    0.98,   24.92,   11.29,   17.33
27.66671,85.35001,2013,03,25,    0.00,    5.29,   36.11,   83.72,   14.17,   16.99,    1.65,    1.69,   24.86,   10.69,   17.21
27.66671,85.35001,2013,03,26,    0.00,    5.26,   37.60,   83.62,   13.63,   16.35,    1.56,    1.60,   23.77,   10.14,   16.47
27.66671,85.35001,2013,03,27,    0.00,    5.03,   32.43,   83.81,   13.19,   17.78,    1.14,    1.17,   25.50,   12.31,   18.14
27.66671,85.35001,2013,03,28,    0.08,    5.82,   38.07,   84.00,   10.87,   17.72,    3.10,    3.12,   24.14,   13.27,   17.93
